id,campeonato,status,data,placar_casa,placar_fora,time_casa,jogos_casa,gols_marcados_casa,gols_sofridos_casa,media_marcados_casa,media_sofridos_casa,time_fora,jogos_fora,gols_marcados_fora,gols_sofridos_fora,media_marcados_fora,media_sofridos_fora,ofensividade_casa,defensividade_casa,ofensividade_fora,defensividade_fora,probabilidade_gol,melhor_chance
g_1_SM0KZVYG,Brasileirão Betano,28.01. 19:00,2026-01-28 19:00:00,0.0,1.0,Internacional,4,3,6,0.75,1.5,Athletico-PR,4,4,3,1.0,0.75,Muito baixa ofensividade,Alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Casa
g_1_42fbSmRj,Brasileirão Betano,28.01. 19:00,2026-01-28 19:00:00,2.0,0.0,Vitória,3,4,7,1.33,2.33,Remo,4,6,8,1.5,2.0,Baixa ofensividade,Baixa defensividade,Baixa ofensividade,Média defensividade,Muito Baixa,Casa
g_1_WjXNGWpS,Brasileirão Betano,10.03. 21:30,2026-03-10 21:30:00,,,Mirassol,3,6,5,2.0,1.67,Santos,4,6,8,1.5,2.0,Média ofensividade,Média defensividade,Baixa ofensividade,Média defensividade,Muito Baixa,Casa
g_1_xUgkXiV8,Brasileirão Betano,11.03. 19:00,2026-03-11 19:00:00,,,Athletico-PR,4,4,3,1.0,0.75,Botafogo,3,7,6,2.33,2.0,Muito baixa ofensividade,Muito alta defensividade,Alta ofensividade,Média defensividade,Baixa,Fora
g_1_jyEfBA8k,Brasileirão Betano,11.03. 19:00,2026-03-11 19:00:00,,,Atlético-MG,4,6,8,1.5,2.0,Internacional,4,3,6,0.75,1.5,Baixa ofensividade,Média defensividade,Muito baixa ofensividade,Alta defensividade,Muito Baixa,Casa
g_1_pfccVVaL,Brasileirão Betano,11.03. 20:00,2026-03-11 20:00:00,,,Bahia,3,4,2,1.33,0.67,Vitória,3,4,7,1.33,2.33,Baixa ofensividade,Muito alta defensividade,Baixa ofensividade,Baixa defensividade,Muito Baixa,Fora
g_1_bwZFIhGF,Brasileirão Betano,11.03. 21:30,2026-03-11 21:30:00,,,Corinthians,4,5,3,1.25,0.75,Coritiba,4,5,6,1.25,1.5,Baixa ofensividade,Muito alta defensividade,Baixa ofensividade,Alta defensividade,Baixa,Fora
g_1_za4CbXOq,Brasileirão Betano,11.03. 21:30,2026-03-11 21:30:00,,,Flamengo,3,4,4,1.33,1.33,Cruzeiro,4,4,9,1.0,2.25,Baixa ofensividade,Alta defensividade,Muito baixa ofensividade,Baixa defensividade,Muito Baixa,Fora
g_1_4vvUP9Nr,Brasileirão Betano,12.03. 19:00,2026-03-12 19:00:00,,,Remo,4,6,8,1.5,2.0,Fluminense,4,5,4,1.25,1.0,Baixa ofensividade,Média defensividade,Baixa ofensividade,Muito alta defensividade,Muito Baixa,Casa
g_1_dEhLdBgd,Brasileirão Betano,12.03. 19:30,2026-03-12 19:30:00,,,Vasco,4,3,6,0.75,1.5,Palmeiras,4,12,5,3.0,1.25,Muito baixa ofensividade,Alta defensividade,Muito alta ofensividade,Alta defensividade,Baixa,Fora
g_1_2Bu7KEo3,Brasileirão Betano,12.03. 20:00,2026-03-12 20:00:00,,,São Paulo,4,6,2,1.5,0.5,Chapecoense,3,8,6,2.67,2.0,Baixa ofensividade,Muito alta defensividade,Muito alta ofensividade,Média defensividade,Média,Fora
g_1_dYG29lw2,Brasileirão Betano,12.03. 21:30,2026-03-12 21:30:00,,,Grêmio,4,8,8,2.0,2.0,Red Bull Bragantino,4,3,3,0.75,0.75,Média ofensividade,Média defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Casa
g_1_8hJMl3El,Copa Libertadores,26.02. 21:30Após Pên.,2026-02-26 21:30:00,1.0,1.0,Tolima (Col)Avança na competição,0,0,0,0.0,0.0,Dep. Tachira (Ven),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_zLpbA7qH,Copa Libertadores,26.02. 19:00,2026-02-26 19:00:00,1.0,2.0,Guarani (Par),0,0,0,0.0,0.0,Juventud (Uru)Avança na competição,0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_GIPAxAZA,Copa Libertadores,25.02. 21:30Após Pên.,2026-02-25 21:30:00,0.0,2.0,Argentinos Juniors (Arg),0,0,0,0.0,0.0,Barcelona (Ecu)Avança na competição,0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_O0Gf7lmJ,Copa Libertadores,25.02. 21:30,2026-02-25 21:30:00,2.0,0.0,Botafogo (Bra)Avança na competição,0,0,0,0.0,0.0,Nacional Potosí (Bol),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_IZ5FgGP0,Copa Libertadores,25.02. 19:00Após Pên.,2026-02-25 19:00:00,2.0,2.0,Bahia (Bra),0,0,0,0.0,0.0,O'Higgins (Chi)Avança na competição,0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_A3ac4XwJ,Copa Libertadores,24.02. 21:30,2026-02-24 21:30:00,0.0,0.0,Ind. Medellín (Col)Avança na competição,0,0,0,0.0,0.0,Liverpool M. (Uru),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_O2fEAZXo,Copa Libertadores,24.02. 21:30Após Pên.,2026-02-24 21:30:00,1.0,0.0,Sporting Cristal (Per)Avança na competição,0,0,0,0.0,0.0,2 de Mayo (Par),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_ri8t8Fvf,Copa Libertadores,24.02. 19:00,2026-02-24 19:00:00,1.0,2.0,Huachipato (Chi),0,0,0,0.0,0.0,Carabobo (Ven)Avança na competição,0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_2gik7BUF,Copa Libertadores,19.02. 21:30,2026-02-19 21:30:00,0.0,1.0,Dep. Tachira (Ven),0,0,0,0.0,0.0,Tolima (Col),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_27njCTE4,Copa Libertadores,19.02. 19:00,2026-02-19 19:00:00,0.0,0.0,Juventud (Uru),0,0,0,0.0,0.0,Guarani (Par),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_r5R2vW4b,Copa Libertadores,18.02. 21:30,2026-02-18 21:30:00,0.0,1.0,Barcelona (Ecu),0,0,0,0.0,0.0,Argentinos Juniors (Arg),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_U1No9AI6,Copa Libertadores,18.02. 21:30,2026-02-18 21:30:00,1.0,0.0,Nacional Potosí (Bol),0,0,0,0.0,0.0,Botafogo (Bra),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_pM77exel,Copa Libertadores,18.02. 19:00,2026-02-18 19:00:00,1.0,0.0,O'Higgins (Chi),0,0,0,0.0,0.0,Bahia (Bra),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_nTD76NLU,Copa Libertadores,17.02. 21:30,2026-02-17 21:30:00,2.0,2.0,2 de Mayo (Par),0,0,0,0.0,0.0,Sporting Cristal (Per),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_xj1k6g96,Copa Libertadores,17.02. 21:30,2026-02-17 21:30:00,1.0,2.0,Liverpool M. (Uru),0,0,0,0.0,0.0,Ind. Medellín (Col),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_zR4Y9yAs,Copa Libertadores,17.02. 19:00,2026-02-17 19:00:00,1.0,0.0,Carabobo (Ven),0,0,0,0.0,0.0,Huachipato (Chi),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_jgT1FcnK,Copa Libertadores,12.02. 21:30Após Pên.,2026-02-12 21:30:00,3.0,5.0,Universidad Católica (Ecu),0,0,0,0.0,0.0,Juventud (Uru)Avança na competição,0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_QyRz1bXQ,Copa Libertadores,11.02. 21:30,2026-02-11 21:30:00,1.0,1.0,Alianza Lima (Per),0,0,0,0.0,0.0,2 de Mayo (Par)Avança na competição,0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_fJTKexs3,Copa Libertadores,10.02. 21:30Após Pên.,2026-02-10 21:30:00,2.0,0.0,Dep. Tachira (Ven)Avança na competição,0,0,0,0.0,0.0,The Strongest (Bol),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_OnyGiffD,Copa Libertadores,05.02. 21:30,2026-02-05 21:30:00,0.0,1.0,Juventud (Uru),0,0,0,0.0,0.0,Universidad Católica (Ecu),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_IBNS2K2E,Copa Libertadores,04.02. 21:30,2026-02-04 21:30:00,1.0,0.0,2 de Mayo (Par),0,0,0,0.0,0.0,Alianza Lima (Per),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_vBoYXYld,Copa Libertadores,03.02. 21:30,2026-02-03 21:30:00,2.0,1.0,The Strongest (Bol),0,0,0,0.0,0.0,Dep. Tachira (Ven),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_6aoubNZQ,Copa Libertadores,03.03. 21:30,2026-03-03 21:30:00,,,Barcelona (Ecu),0,0,0,0.0,0.0,Botafogo (Bra),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_MJqXHvF8,Copa Libertadores,04.03. 19:00,2026-03-04 19:00:00,,,Carabobo (Ven),0,0,0,0.0,0.0,Sporting Cristal (Per),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_jo8E1BRs,Copa Libertadores,04.03. 21:30,2026-03-04 21:30:00,,,O'Higgins (Chi),0,0,0,0.0,0.0,Tolima (Col),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_QmUPPrFN,Copa Libertadores,05.03. 21:30,2026-03-05 21:30:00,,,Juventud (Uru),0,0,0,0.0,0.0,Ind. Medellín (Col),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_zFyBh1cl,Copa Libertadores,10.03. 21:30,2026-03-10 21:30:00,,,Botafogo (Bra),0,0,0,0.0,0.0,Barcelona (Ecu),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_UqmuGIqL,Copa Libertadores,11.03. 19:00,2026-03-11 19:00:00,,,Sporting Cristal (Per),0,0,0,0.0,0.0,Carabobo (Ven),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_drBMakdf,Copa Libertadores,11.03. 21:30,2026-03-11 21:30:00,,,Tolima (Col),0,0,0,0.0,0.0,O'Higgins (Chi),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_tEZfKMxo,Copa Libertadores,12.03. 21:30,2026-03-12 21:30:00,,,Ind. Medellín (Col),0,0,0,0.0,0.0,Juventud (Uru),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_MFr3bg4l,Copa Sul-Americana,03.03. 19:00,2026-03-03 19:00:00,,,Independiente (Bol),0,0,0,0.0,0.0,Guabira (Bol),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_I79QpnsT,Copa Sul-Americana,03.03. 19:00,2026-03-03 19:00:00,,,Montevideo City (Uru),0,0,0,0.0,0.0,Defensor Sp. (Uru),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_EFC9lUs4,Copa Sul-Americana,03.03. 21:30,2026-03-03 21:30:00,,,Cobresal (Chi),0,0,0,0.0,0.0,Audax Italiano (Chi),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_t2E1jjDi,Copa Sul-Americana,03.03. 21:30,2026-03-03 21:30:00,,,Puerto Cabello (Ven),0,0,0,0.0,0.0,Monagas (Ven),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_KIWTg42n,Copa Sul-Americana,03.03. 23:00,2026-03-03 23:00:00,,,Alianza Atl. (Per),0,0,0,0.0,0.0,Deportivo Garcilaso (Per),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_jXiX3FtR,Copa Sul-Americana,04.03. 19:00,2026-03-04 19:00:00,,,Blooming (Bol),0,0,0,0.0,0.0,SA Bulo Bulo (Bol),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_2uocuQ4j,Copa Sul-Americana,04.03. 19:00,2026-03-04 19:00:00,,,Caracas (Ven),0,0,0,0.0,0.0,Metropolitanos (Ven),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_As6In8CG,Copa Sul-Americana,04.03. 21:30,2026-03-04 21:30:00,,,Atl. Nacional (Col),0,0,0,0.0,0.0,Millonarios (Col),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_vLnVirXb,Copa Sul-Americana,04.03. 21:30,2026-03-04 21:30:00,,,Sportivo Trinidense (Par),0,0,0,0.0,0.0,Olimpia Asuncion (Par),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_8xYr3Tdc,Copa Sul-Americana,04.03. 21:30,2026-03-04 21:30:00,,,Universidad de Chile (Chi),0,0,0,0.0,0.0,Palestino (Chi),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_CpJJzl4N,Copa Sul-Americana,04.03. 23:00,2026-03-04 23:00:00,,,Dep. Cuenca (Ecu),0,0,0,0.0,0.0,Libertad (Ecu),0,0,0,0.0,0.0,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
